term_code,term_name,acronyms,parent_term_code,domain_code,owner_upn,additional_owners_upn,definition,status,is_cde,industry_origin,resources,bound_assets
GT-021,Governance Term 21,NULL,NULL,DOM-REVCON,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 21,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-022,Governance Term 22,NULL,NULL,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 22,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-023,Governance Term 23,NULL,NULL,DOM-SVCDEL,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 23,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-024,Governance Term 24,NULL,NULL,DOM-REVCON,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 24,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-025,Governance Term 25,NULL,NULL,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 25,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-026,Governance Term 26,NULL,NULL,DOM-SVCDEL,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 26,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-027,Governance Term 27,NULL,NULL,DOM-REVCON,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 27,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-028,Governance Term 28,NULL,NULL,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 28,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-029,Governance Term 29,NULL,NULL,DOM-SVCDEL,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 29,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-030,Governance Term 30,NULL,NULL,DOM-REVCON,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 30,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-031,Governance Term 31,NULL,NULL,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 31,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-032,Governance Term 32,NULL,NULL,DOM-SVCDEL,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 32,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-033,Governance Term 33,NULL,NULL,DOM-REVCON,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 33,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-034,Governance Term 34,NULL,NULL,DOM-CUSTOPS,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 34,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
GT-035,Governance Term 35,NULL,NULL,DOM-SVCDEL,Ci.Zhu@enercare.ca,Victoria.Tan@enercare.ca,Notebook-owned governance term definition 35,Published,0,Generic,internal://glossary/notebook,dbo.customers;dbo.service_requests
