consent_id,customer_id,consent_type,consent_status,legal_basis,granted_date,withdrawn_date,source_channel,captured_by_upn
36,9,Retention,Granted,PIPEDA,2026-02-23,NULL,CallCenter,Rupal.Solanki@enercare.ca
37,10,Marketing-Email,Granted,CASL,2026-03-27,NULL,CallCenter,Rupal.Solanki@enercare.ca
38,10,Marketing-SMS,Granted,CASL,2026-03-14,NULL,CallCenter,Rupal.Solanki@enercare.ca
39,10,Data-Sharing,Granted,PIPEDA,2026-03-01,NULL,CallCenter,Rupal.Solanki@enercare.ca
40,10,Retention,Granted,PIPEDA,2026-02-16,NULL,CallCenter,Rupal.Solanki@enercare.ca
41,11,Marketing-Email,Granted,CASL,2026-03-20,NULL,CallCenter,Rupal.Solanki@enercare.ca
42,11,Marketing-SMS,Granted,CASL,2026-03-07,NULL,CallCenter,Rupal.Solanki@enercare.ca
43,11,Data-Sharing,Granted,PIPEDA,2026-02-22,NULL,CallCenter,Rupal.Solanki@enercare.ca
44,11,Retention,Withdrawn,PIPEDA,2026-02-09,NULL,CallCenter,Rupal.Solanki@enercare.ca
45,12,Marketing-Email,Granted,CASL,2026-03-13,NULL,CallCenter,Rupal.Solanki@enercare.ca
46,12,Marketing-SMS,Granted,CASL,2026-02-28,NULL,CallCenter,Rupal.Solanki@enercare.ca
47,12,Data-Sharing,Withdrawn,PIPEDA,2026-02-15,NULL,CallCenter,Rupal.Solanki@enercare.ca
48,12,Retention,Granted,PIPEDA,2026-02-02,NULL,CallCenter,Rupal.Solanki@enercare.ca
49,13,Marketing-Email,Granted,CASL,2026-03-06,NULL,CallCenter,Rupal.Solanki@enercare.ca
50,13,Marketing-SMS,Withdrawn,CASL,2026-02-21,NULL,CallCenter,Rupal.Solanki@enercare.ca
51,13,Data-Sharing,Granted,PIPEDA,2026-02-08,NULL,CallCenter,Rupal.Solanki@enercare.ca
52,13,Retention,Granted,PIPEDA,2026-01-26,NULL,CallCenter,Rupal.Solanki@enercare.ca
53,14,Marketing-Email,Withdrawn,CASL,2026-02-27,NULL,CallCenter,Rupal.Solanki@enercare.ca
54,14,Marketing-SMS,Granted,CASL,2026-02-14,NULL,CallCenter,Rupal.Solanki@enercare.ca
55,14,Data-Sharing,Granted,PIPEDA,2026-02-01,NULL,CallCenter,Rupal.Solanki@enercare.ca
56,14,Retention,Granted,PIPEDA,2026-01-19,NULL,CallCenter,Rupal.Solanki@enercare.ca
57,15,Marketing-Email,Granted,CASL,2026-02-20,NULL,CallCenter,Rupal.Solanki@enercare.ca
58,15,Marketing-SMS,Granted,CASL,2026-02-07,NULL,CallCenter,Rupal.Solanki@enercare.ca
59,15,Data-Sharing,Granted,PIPEDA,2026-01-25,NULL,CallCenter,Rupal.Solanki@enercare.ca
60,15,Retention,Granted,PIPEDA,2026-01-12,NULL,CallCenter,Rupal.Solanki@enercare.ca
61,16,Marketing-Email,Granted,CASL,2026-02-13,NULL,CallCenter,Rupal.Solanki@enercare.ca
62,16,Marketing-SMS,Granted,CASL,2026-01-31,NULL,CallCenter,Rupal.Solanki@enercare.ca
63,16,Data-Sharing,Granted,PIPEDA,2026-01-18,NULL,CallCenter,Rupal.Solanki@enercare.ca
64,16,Retention,Withdrawn,PIPEDA,2026-01-05,NULL,CallCenter,Rupal.Solanki@enercare.ca
65,17,Marketing-Email,Granted,CASL,2026-02-06,NULL,CallCenter,Rupal.Solanki@enercare.ca
66,17,Marketing-SMS,Granted,CASL,2026-01-24,NULL,CallCenter,Rupal.Solanki@enercare.ca
67,17,Data-Sharing,Withdrawn,PIPEDA,2026-01-11,NULL,CallCenter,Rupal.Solanki@enercare.ca
68,17,Retention,Granted,PIPEDA,2025-12-29,NULL,CallCenter,Rupal.Solanki@enercare.ca
69,18,Marketing-Email,Granted,CASL,2026-01-30,NULL,CallCenter,Rupal.Solanki@enercare.ca
70,18,Marketing-SMS,Withdrawn,CASL,2026-01-17,NULL,CallCenter,Rupal.Solanki@enercare.ca
71,18,Data-Sharing,Granted,PIPEDA,2026-01-04,NULL,CallCenter,Rupal.Solanki@enercare.ca
72,18,Retention,Granted,PIPEDA,2025-12-22,NULL,CallCenter,Rupal.Solanki@enercare.ca
73,19,Marketing-Email,Withdrawn,CASL,2026-01-23,NULL,CallCenter,Rupal.Solanki@enercare.ca
74,19,Marketing-SMS,Granted,CASL,2026-01-10,NULL,CallCenter,Rupal.Solanki@enercare.ca
75,19,Data-Sharing,Granted,PIPEDA,2025-12-28,NULL,CallCenter,Rupal.Solanki@enercare.ca
76,19,Retention,Granted,PIPEDA,2025-12-15,NULL,CallCenter,Rupal.Solanki@enercare.ca
77,20,Marketing-Email,Granted,CASL,2026-01-16,NULL,CallCenter,Rupal.Solanki@enercare.ca
78,20,Marketing-SMS,Granted,CASL,2026-01-03,NULL,CallCenter,Rupal.Solanki@enercare.ca
79,20,Data-Sharing,Granted,PIPEDA,2025-12-21,NULL,CallCenter,Rupal.Solanki@enercare.ca
80,20,Retention,Granted,PIPEDA,2025-12-08,NULL,CallCenter,Rupal.Solanki@enercare.ca
81,21,Marketing-Email,Granted,CASL,2026-01-09,NULL,CallCenter,Rupal.Solanki@enercare.ca
82,21,Marketing-SMS,Granted,CASL,2025-12-27,NULL,CallCenter,Rupal.Solanki@enercare.ca
83,21,Data-Sharing,Granted,PIPEDA,2025-12-14,NULL,CallCenter,Rupal.Solanki@enercare.ca
84,21,Retention,Withdrawn,PIPEDA,2025-12-01,NULL,CallCenter,Rupal.Solanki@enercare.ca
85,22,Marketing-Email,Granted,CASL,2026-01-02,NULL,CallCenter,Rupal.Solanki@enercare.ca
86,22,Marketing-SMS,Granted,CASL,2025-12-20,NULL,CallCenter,Rupal.Solanki@enercare.ca
87,22,Data-Sharing,Withdrawn,PIPEDA,2025-12-07,NULL,CallCenter,Rupal.Solanki@enercare.ca
88,22,Retention,Granted,PIPEDA,2025-11-24,NULL,CallCenter,Rupal.Solanki@enercare.ca
89,23,Marketing-Email,Granted,CASL,2025-12-26,NULL,CallCenter,Rupal.Solanki@enercare.ca
90,23,Marketing-SMS,Withdrawn,CASL,2025-12-13,NULL,CallCenter,Rupal.Solanki@enercare.ca
91,23,Data-Sharing,Granted,PIPEDA,2025-11-30,NULL,CallCenter,Rupal.Solanki@enercare.ca
92,23,Retention,Granted,PIPEDA,2025-11-17,NULL,CallCenter,Rupal.Solanki@enercare.ca
93,24,Marketing-Email,Withdrawn,CASL,2025-12-19,NULL,CallCenter,Rupal.Solanki@enercare.ca
94,24,Marketing-SMS,Granted,CASL,2025-12-06,NULL,CallCenter,Rupal.Solanki@enercare.ca
95,24,Data-Sharing,Granted,PIPEDA,2025-11-23,NULL,CallCenter,Rupal.Solanki@enercare.ca
96,24,Retention,Granted,PIPEDA,2025-11-10,NULL,CallCenter,Rupal.Solanki@enercare.ca
97,25,Marketing-Email,Granted,CASL,2025-12-12,NULL,CallCenter,Rupal.Solanki@enercare.ca
98,25,Marketing-SMS,Granted,CASL,2025-11-29,NULL,CallCenter,Rupal.Solanki@enercare.ca
99,25,Data-Sharing,Granted,PIPEDA,2025-11-16,NULL,CallCenter,Rupal.Solanki@enercare.ca
100,25,Retention,Granted,PIPEDA,2025-11-03,NULL,CallCenter,Rupal.Solanki@enercare.ca
101,26,Marketing-Email,Granted,CASL,2025-12-05,NULL,CallCenter,Rupal.Solanki@enercare.ca
102,26,Marketing-SMS,Granted,CASL,2025-11-22,NULL,CallCenter,Rupal.Solanki@enercare.ca
103,26,Data-Sharing,Granted,PIPEDA,2025-11-09,NULL,CallCenter,Rupal.Solanki@enercare.ca
104,26,Retention,Withdrawn,PIPEDA,2025-10-27,NULL,CallCenter,Rupal.Solanki@enercare.ca
105,27,Marketing-Email,Granted,CASL,2025-11-28,NULL,CallCenter,Rupal.Solanki@enercare.ca
106,27,Marketing-SMS,Granted,CASL,2025-11-15,NULL,CallCenter,Rupal.Solanki@enercare.ca
107,27,Data-Sharing,Withdrawn,PIPEDA,2025-11-02,NULL,CallCenter,Rupal.Solanki@enercare.ca
108,27,Retention,Granted,PIPEDA,2025-10-20,NULL,CallCenter,Rupal.Solanki@enercare.ca
109,28,Marketing-Email,Granted,CASL,2025-11-21,NULL,CallCenter,Rupal.Solanki@enercare.ca
110,28,Marketing-SMS,Withdrawn,CASL,2025-11-08,NULL,CallCenter,Rupal.Solanki@enercare.ca
111,28,Data-Sharing,Granted,PIPEDA,2025-10-26,NULL,CallCenter,Rupal.Solanki@enercare.ca
112,28,Retention,Granted,PIPEDA,2025-10-13,NULL,CallCenter,Rupal.Solanki@enercare.ca
113,29,Marketing-Email,Withdrawn,CASL,2025-11-14,NULL,CallCenter,Rupal.Solanki@enercare.ca
114,29,Marketing-SMS,Granted,CASL,2025-11-01,NULL,CallCenter,Rupal.Solanki@enercare.ca
115,29,Data-Sharing,Granted,PIPEDA,2025-10-19,NULL,CallCenter,Rupal.Solanki@enercare.ca
116,29,Retention,Granted,PIPEDA,2025-10-06,NULL,CallCenter,Rupal.Solanki@enercare.ca
117,30,Marketing-Email,Granted,CASL,2025-11-07,NULL,CallCenter,Rupal.Solanki@enercare.ca
118,30,Marketing-SMS,Granted,CASL,2025-10-25,NULL,CallCenter,Rupal.Solanki@enercare.ca
119,30,Data-Sharing,Granted,PIPEDA,2025-10-12,NULL,CallCenter,Rupal.Solanki@enercare.ca
120,30,Retention,Granted,PIPEDA,2025-09-29,NULL,CallCenter,Rupal.Solanki@enercare.ca
183746221,18374622,Marketing-Email,Granted,CASL,2026-06-17,NULL,CallCenter,tnguyen@enercare.ca
183746222,18374622,Marketing-SMS,Granted,CASL,2026-06-17,NULL,CallCenter,tnguyen@enercare.ca
183746223,18374622,Data-Sharing,Granted,PIPEDA,2026-06-17,NULL,CallCenter,tnguyen@enercare.ca
183746224,18374622,Retention,Granted,PIPEDA,2026-06-17,NULL,CallCenter,tnguyen@enercare.ca
